Group,Site.Name,Latitude,Longitude,Date,Time,Rain.mm,Temp,RH,WindSpeed.ms,GustSpeed.ms,WindDirection.theta,WindDirection
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,16:16:00,0,19.145,53.629,0.5,2.52,174.1,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,16:31:00,0,18.974,53.704,0.5,3.02,168.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,16:46:00,0,18.695,56.181,0,3.02,175.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,17:01:00,0,18.738,54.861,0,2.52,171.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,17:16:00,0,18.545,55.196,0,2.01,171.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,17:31:00,0,18.201,60.278,0.5,2.01,207.8,SW
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,17:46:00,0,17.108,67.579,0,2.01,245.7,SW
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,18:01:00,0.2,16.1,75.86,0,2.52,256.9,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,18:16:00,1.4,15.07,83.951,0.5,2.52,276.6,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,18:31:00,1.2,14.641,87.822,0.5,2.52,296.2,NW
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,18:46:00,4.2,14.298,90.129,0,1.51,248.5,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,19:01:00,1.6,14.083,92.232,0,0.5,240.1,SW
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,19:16:00,1.4,13.89,93.518,0,1.01,221.8,SW
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,19:31:00,0.4,13.912,93.516,0,0,220.4,SW
